what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1318983630584
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1318983630630
started,bundle,com.adobe.flexbuilder.multisdk,4.0.0.272416,"com.adobe.flexbuilder.multisdk",1318983630630
os,sysinfo,,,"win32",1318983630630
arch,sysinfo,,,"x86",1318983630630
ws,sysinfo,,,"win32",1318983630630
locale,sysinfo,,,"zh_CN",1318983630630
processors,sysinfo,,,"2",1318983630630
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1318983630630
java.runtime.version,sysinfo,,,"1.5.0_20-b02",1318983630630
java.specification.name,sysinfo,,,"Java Platform API Specification",1318983630630
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1318983630630
java.specification.version,sysinfo,,,"1.5",1318983630630
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1318983630630
java.version,sysinfo,,,"1.5.0_20",1318983630630
java.vm.info,sysinfo,,,"mixed mode",1318983630630
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1318983630630
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1318983630630
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1318983630630
java.vm.specification.version,sysinfo,,,"1.0",1318983630630
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1318983630630
java.vm.version,sysinfo,,,"1.5.0_20-b02",1318983630630
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1318983630964
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1318983631161
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1318983631495
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1318983631799
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1318983631860
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1318983632513
